## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT mapped/X1a.bam --OUTPUT dedupe/X1a.bam --METRICS_FILE dedupe/X1a.metrics.txt --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 11 17:29:18 PDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	932	58644111	79858816	5931952	840	24810563	557459	0.423074	48427703

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.004937	26056889	0	26316794
2.0	1.304318	5250764	484788	5085804
3.0	1.393507	1209005	19529	1145818
4.0	1.420077	402529	3873	385259
5.0	1.427993	197578	1511	192046
6.0	1.430351	122312	727	120231
7.0	1.431054	85963	351	84651
8.0	1.431263	64632	235	63777
9.0	1.431325	49993	140	49554
10.0	1.431344	40083	100	39675
11.0	1.431349	33510	50	33176
12.0	1.431351	28201	40	27856
13.0	1.431351	23784	34	23512
14.0	1.431352	20544	25	20337
15.0	1.431352	17817	25	17584
16.0	1.431352	15427	18	15272
17.0	1.431352	13816	14	13701
18.0	1.431352	12357	12	12172
19.0	1.431352	11026	15	10928
20.0	1.431352	9915	10	9900
21.0	1.431352	9075	9	8919
22.0	1.431352	8001	3	7966
23.0	1.431352	7447	5	7352
24.0	1.431352	6987	1	6926
25.0	1.431352	6394	3	6421
26.0	1.431352	5906	3	5759
27.0	1.431352	5373	1	5327
28.0	1.431352	4996	2	4901
29.0	1.431352	4736	0	4677
30.0	1.431352	4434	4	4446
31.0	1.431352	4131	3	4027
32.0	1.431352	3761	1	3761
33.0	1.431352	3552	4	3557
34.0	1.431352	3371	3	3288
35.0	1.431352	3209	0	3187
36.0	1.431352	2953	1	2886
37.0	1.431352	2861	2	2897
38.0	1.431352	2642	0	2560
39.0	1.431352	2454	2	2452
40.0	1.431352	2420	1	2392
41.0	1.431352	2204	0	2205
42.0	1.431352	2174	0	2157
43.0	1.431352	2074	1	1982
44.0	1.431352	1922	2	1943
45.0	1.431352	1878	2	1856
46.0	1.431352	1779	0	1765
47.0	1.431352	1720	0	1638
48.0	1.431352	1589	0	1637
49.0	1.431352	1581	0	1518
50.0	1.431352	1486	2	1428
51.0	1.431352	1368	1	1379
52.0	1.431352	1331	0	1393
53.0	1.431352	1316	1	1260
54.0	1.431352	1246	0	1253
55.0	1.431352	1231	0	1231
56.0	1.431352	1166	2	1124
57.0	1.431352	1111	0	1078
